Date,mean,std,min,max,count,exceedance_rate
2025-04-08,52.3,2.1628170930011112,49.0,57.0,10,0.0
2025-04-09,71.85714285714286,17.246117575517438,52.0,100.0,21,0.0
2025-04-10,103.34782608695652,25.002924730104848,54.0,128.0,23,69.56521739130434
2025-04-11,93.56521739130434,30.343227620847998,63.0,140.0,23,39.130434782608695
2025-04-12,82.43478260869566,17.004881884480657,59.0,118.0,23,17.391304347826086
2025-04-13,54.142857142857146,27.98979405834511,19.0,116.0,21,9.523809523809524
2025-04-14,100.31818181818181,15.388265051613233,83.0,128.0,22,36.36363636363637
2025-04-15,123.36363636363636,9.34291406842872,105.0,135.0,22,100.0
2025-04-16,122.72727272727273,18.98415835369765,102.0,152.0,22,100.0
2025-04-17,103.43478260869566,6.33766580888724,94.0,113.0,23,60.86956521739131
2025-04-18,70.52173913043478,10.778216943182592,57.0,94.0,23,0.0
2025-04-19,76.95454545454545,21.8838432959706,37.0,116.0,22,9.090909090909092
2025-04-20,54.81818181818182,18.87461475768664,34.0,95.0,22,0.0
2025-04-21,59.54545454545455,22.3771296357672,34.0,105.0,22,9.090909090909092
2025-04-22,63.130434782608695,21.861764770788305,36.0,110.0,23,8.695652173913043
2025-04-23,73.73913043478261,7.587174532808927,60.0,86.0,23,0.0
2025-04-24,83.77272727272727,20.24359232703105,55.0,120.0,22,27.27272727272727
2025-04-25,90.5909090909091,19.229588042312717,62.0,121.0,22,36.36363636363637
2025-04-26,59.608695652173914,1.6716657570106697,57.0,62.0,23,0.0
2025-04-27,56.36363636363637,25.028641601830902,23.0,96.0,22,0.0
2025-04-28,48.23809523809524,10.319422279879635,34.0,66.0,21,0.0
2025-04-29,47.86363636363637,19.838143765280762,26.0,92.0,22,0.0
2025-04-30,44.54545454545455,20.09910510381062,21.0,85.0,22,0.0
2025-05-01,39.90909090909091,11.694154383846946,24.0,59.0,22,0.0
2025-05-02,46.95454545454545,15.505689501805682,28.0,81.0,22,0.0
2025-05-03,63.388888888888886,18.052664424135777,34.0,103.0,18,5.555555555555555
2025-05-04,42.75,14.723644735109383,29.0,72.0,8,0.0
2025-05-05,54.18181818181818,13.661333559796958,36.0,79.0,22,0.0
2025-05-06,49.36363636363637,7.141731513038628,36.0,58.0,22,0.0
2025-05-07,61.68181818181818,13.96726227950258,45.0,87.0,22,0.0
2025-05-08,70.0909090909091,16.607253409304796,46.0,99.0,22,0.0
2025-05-09,56.59090909090909,5.517583070849315,44.0,67.0,22,0.0
2025-05-10,41.0,11.293602372381212,24.0,64.0,23,0.0
2025-05-11,39.5,19.33353858675939,20.0,84.0,22,0.0
2025-05-12,29.09090909090909,12.172995448196726,13.0,61.0,22,0.0
2025-05-13,42.86363636363637,7.747782813691831,31.0,58.0,22,0.0
2025-05-14,69.04545454545455,30.8413409515266,29.0,124.0,22,18.181818181818183
2025-05-15,62.18181818181818,15.15832747287417,35.0,88.0,22,0.0
2025-05-16,51.18181818181818,27.61579321026348,14.0,96.0,22,0.0
2025-05-17,40.59090909090909,11.623699480388748,17.0,60.0,22,0.0
