Hour,mean,std,min,max,count,exceedance_rate
0,47.89156626506024,26.208363982493218,8.0,134.0,83,6.024096385542169
1,48.83529411764706,25.711238537162032,8.0,135.0,85,5.88235294117647
2,50.926829268292686,25.94237702341117,7.0,136.0,82,6.097560975609756
3,54.01176470588236,25.4593486046393,7.0,140.0,85,5.88235294117647
4,60.55421686746988,26.788809554868788,10.0,150.0,83,7.228915662650602
5,65.93103448275862,27.53171241409233,13.0,152.0,87,11.494252873563218
6,67.54651162790698,27.236937279987647,15.0,152.0,86,10.465116279069768
7,59.63636363636363,26.34871050838248,20.0,103.0,11,9.090909090909092
8,70.10810810810811,25.34613399910293,22.0,149.0,74,13.513513513513514
9,86.23529411764706,32.244242532126385,19.0,144.0,17,35.294117647058826
10,60.370370370370374,22.576782567742267,20.0,116.0,81,7.4074074074074066
11,56.7093023255814,23.01603854045607,24.0,122.0,86,6.976744186046512
12,54.154761904761905,22.910771943061306,14.0,119.0,84,4.761904761904762
13,51.70238095238095,23.090069717607395,18.0,122.0,84,4.761904761904762
14,47.24418604651163,24.143169072412537,14.0,128.0,86,4.651162790697675
15,43.74698795180723,23.895015999103535,16.0,128.0,83,4.819277108433735
16,41.3625,24.218020150293043,9.0,131.0,80,5.0
17,40.082352941176474,23.902187469483422,9.0,133.0,85,4.705882352941177
18,40.30487804878049,23.749562191879082,11.0,135.0,82,4.878048780487805
19,40.714285714285715,23.594246505416262,11.0,133.0,84,4.761904761904762
20,41.2,23.889527492387185,10.0,130.0,85,4.705882352941177
21,43.13095238095238,24.288814303849033,13.0,130.0,84,4.761904761904762
22,44.95294117647059,24.933676730360418,9.0,132.0,85,5.88235294117647
23,47.46511627906977,25.500956233244455,13.0,133.0,86,5.813953488372093
