Hour,mean,std,min,max,count,exceedance_rate
0,68.94464944649447,35.632866598683094,7.0,194.0,542,17.712177121771216
1,66.52380952380952,35.01523103655707,6.0,196.0,546,15.567765567765568
2,63.282732447817835,32.95090462663281,7.0,192.0,527,12.523719165085389
3,61.46617915904936,33.32315204350217,8.0,198.0,547,12.614259597806216
4,60.28838951310861,33.689053455533525,8.0,199.0,534,11.04868913857678
5,58.75587703435805,33.451404386574374,6.0,190.0,553,10.849909584086799
6,59.051094890510946,33.729664314080026,6.0,191.0,548,10.401459854014599
7,66.0421052631579,34.444193467198836,12.0,181.0,95,17.894736842105264
8,60.216814159292035,32.67900565608581,9.0,192.0,452,9.955752212389381
9,81.13461538461539,37.28652555003016,13.0,181.0,156,26.923076923076923
10,64.63485477178423,30.53595183295861,9.0,190.0,482,13.278008298755188
11,66.47037701974865,32.359457081777265,8.0,182.0,557,14.183123877917414
12,66.47610294117646,32.44010458555292,8.0,183.0,544,15.441176470588236
13,66.71245421245422,32.44902439300036,12.0,184.0,546,16.3003663003663
14,67.05818181818182,33.47288107080101,5.0,185.0,550,16.363636363636363
15,67.05018587360595,33.754278161332024,7.0,184.0,538,16.171003717472118
16,66.3206106870229,33.57404241239548,6.0,181.0,524,16.221374045801525
17,64.74175824175825,33.22651168476428,7.0,185.0,546,15.934065934065933
18,65.0172744721689,32.89835290855264,11.0,187.0,521,15.355086372360843
19,67.15675675675676,33.61916040208452,8.0,187.0,555,15.675675675675677
20,71.35740072202167,35.13958820783169,7.0,195.0,554,18.4115523465704
21,74.08502772643253,36.8689894969608,8.0,213.0,541,21.811460258780038
22,75.18114602587801,37.99493747197127,9.0,205.0,541,22.920517560073936
23,72.83935018050542,37.40469993401667,8.0,187.0,554,20.577617328519857
