,AQI,PM2.5,PM10,CO,NO2,O3,SO2,Temperature,Humidity,Pressure,Wind Speed
AQI,1.0,0.8592437110955538,0.9786416088976577,0.04688033378737067,0.28642264094055214,0.05479221054279034,0.13237635757034547,0.11935393600357173,-0.08365521242822443,0.14866873975139264,-0.20587147550494603
PM2.5,0.8592437110955538,1.0,0.8479099160365543,0.02772206641707499,0.28635988599029727,-0.11701114775374041,0.1414482314611107,0.008977468404633813,0.04343343132529765,0.20472849023940354,-0.2611870760762754
PM10,0.9786416088976577,0.8479099160365543,1.0,0.0030551786734328715,0.2774103696338761,-0.038555932415532165,0.13088687706306606,0.11439863466219413,-0.08087216490971563,0.15123519987524045,-0.20705861890048194
CO,0.04688033378737067,0.02772206641707499,0.0030551786734328715,1.0,-0.24063456469599914,-0.0930922272118429,-0.1387635082717175,-0.068044716154217,0.011253372507619288,-0.021548410162220314,0.0020923045038877524
NO2,0.28642264094055214,0.28635988599029727,0.2774103696338761,-0.24063456469599914,1.0,0.03807711226244822,-0.11543580200701084,0.16776723790249504,-0.20235065104961455,0.22023313096164532,-0.26242052976059593
O3,0.05479221054279034,-0.11701114775374041,-0.038555932415532165,-0.0930922272118429,0.03807711226244822,1.0,-0.08890076808621984,0.3740928783123846,-0.3681131175868637,-0.258167155454634,0.14860809147396475
SO2,0.13237635757034547,0.1414482314611107,0.13088687706306606,-0.1387635082717175,-0.11543580200701084,-0.08890076808621984,1.0,-0.0840981663206761,0.15361889702038203,-0.10447733120975687,-0.0935938421963905
Temperature,0.11935393600357173,0.008977468404633813,0.11439863466219413,-0.068044716154217,0.16776723790249504,0.3740928783123846,-0.0840981663206761,1.0,-0.9326259253063046,-0.14713867496457675,0.281761071564814
Humidity,-0.08365521242822443,0.04343343132529765,-0.08087216490971563,0.011253372507619288,-0.20235065104961455,-0.3681131175868637,0.15361889702038203,-0.9326259253063046,1.0,0.07992405731172415,-0.3135594230024021
Pressure,0.14866873975139264,0.20472849023940354,0.15123519987524045,-0.021548410162220314,0.22023313096164532,-0.258167155454634,-0.10447733120975687,-0.14713867496457675,0.07992405731172415,1.0,-0.20146792950203132
Wind Speed,-0.20587147550494603,-0.2611870760762754,-0.20705861890048194,0.0020923045038877524,-0.26242052976059593,0.14860809147396475,-0.0935938421963905,0.281761071564814,-0.3135594230024021,-0.20146792950203132,1.0
