,AQI,PM2.5,PM10,CO,NO2,O3,SO2,Temperature,Humidity,Pressure,Wind Speed
AQI,1.0,0.9764631914945809,0.9209819494140352,0.08686816464229792,0.3031855181358146,0.3299830696451485,0.45627002316492876,-0.15450761665768095,-0.28908594609675925,0.21944075635988225,-0.05598787311350609
PM2.5,0.9764631914945809,1.0,0.9235748706690449,-0.09342079401412735,0.2924142656207996,0.3001456753215637,0.4772157479610417,-0.1790791549778156,-0.23886037736240895,0.27143842100963794,-0.012340676788513416
PM10,0.9209819494140352,0.9235748706690449,1.0,-0.10185818505918524,0.28730012556111917,0.293378757807844,0.48527248999968503,-0.2310668576488155,-0.290128490065709,0.2764523524304697,0.00020104223528126408
CO,0.08686816464229792,-0.09342079401412735,-0.10185818505918524,1.0,0.07887858885544331,-0.001989881838250702,-0.16918036279200704,0.21834792659802635,0.0328163898407061,-0.3444685491657163,-0.10278084059788126
NO2,0.3031855181358146,0.2924142656207996,0.28730012556111917,0.07887858885544331,1.0,0.48578196935477724,0.20064145263673341,0.04585910241563494,-0.31737193848497464,0.041321166582470155,0.006009750533934613
O3,0.3299830696451485,0.3001456753215637,0.293378757807844,-0.001989881838250702,0.48578196935477724,1.0,0.1204576800485556,0.3010305009725476,-0.690268638520055,0.022738440606869293,0.10986561479012108
SO2,0.45627002316492876,0.4772157479610417,0.48527248999968503,-0.16918036279200704,0.20064145263673341,0.1204576800485556,1.0,-0.029608012422121868,-0.18472375418996254,0.13427143412342066,0.09323860675108339
Temperature,-0.15450761665768095,-0.1790791549778156,-0.2310668576488155,0.21834792659802635,0.04585910241563494,0.3010305009725476,-0.029608012422121868,1.0,-0.5419032243105455,-0.6487342776246429,0.2543038169172069
Humidity,-0.28908594609675925,-0.23886037736240895,-0.290128490065709,0.0328163898407061,-0.31737193848497464,-0.690268638520055,-0.18472375418996254,-0.5419032243105455,1.0,0.028734999448121256,-0.2678895496312078
Pressure,0.21944075635988225,0.27143842100963794,0.2764523524304697,-0.3444685491657163,0.041321166582470155,0.022738440606869293,0.13427143412342066,-0.6487342776246429,0.028734999448121256,1.0,-0.2202787202767977
Wind Speed,-0.05598787311350609,-0.012340676788513416,0.00020104223528126408,-0.10278084059788126,0.006009750533934613,0.10986561479012108,0.09323860675108339,0.2543038169172069,-0.2678895496312078,-0.2202787202767977,1.0
