,AQI,PM2.5,PM10,CO,NO2,O3,SO2,Temperature,Humidity,Pressure,Wind Speed
AQI,1.0,0.998109144183384,0.9484979027494873,-0.03935433985906295,0.10872227816412859,-0.21008942512169948,-0.41083752985464295,-0.15871348953837386,-0.11059734865580925,0.2754023816160537,0.05189091222650908
PM2.5,0.998109144183384,1.0,0.9466588307935024,-0.04144043097427731,0.10130315548114022,-0.2246589640211834,-0.4155405825972846,-0.16413130270937307,-0.104791553714238,0.28066071835412676,0.04928101765840604
PM10,0.9484979027494873,0.9466588307935024,1.0,-0.01216443563984953,0.16411272427598114,-0.20017544060081405,-0.3543311829231131,-0.1422114636026656,-0.19481838040027863,0.28217102779358527,0.02237565838382089
CO,-0.03935433985906295,-0.04144043097427731,-0.01216443563984953,1.0,0.30581435523386585,0.0931739263067126,0.4247450027628623,0.1557225821531632,-0.0984982517372871,-0.18538353000765923,-0.060613837550197204
NO2,0.10872227816412859,0.10130315548114022,0.16411272427598114,0.30581435523386585,1.0,-0.20000777034323375,-0.24095927138986958,0.2901419725571608,-0.361246241366553,0.0687390017751662,-0.0018473674454712187
O3,-0.21008942512169948,-0.2246589640211834,-0.20017544060081405,0.0931739263067126,-0.20000777034323375,1.0,0.6793776752446118,0.28088011978253735,-0.07842924325290745,-0.3759813340412797,-0.05126257403267053
SO2,-0.41083752985464295,-0.4155405825972846,-0.3543311829231131,0.4247450027628623,-0.24095927138986958,0.6793776752446118,1.0,0.2232582775458813,0.07576741328563406,-0.4378796084357164,-0.18793776008074037
Temperature,-0.15871348953837386,-0.16413130270937307,-0.1422114636026656,0.1557225821531632,0.2901419725571608,0.28088011978253735,0.2232582775458813,1.0,-0.6395488174103925,-0.6143785494088723,0.14979310425027867
Humidity,-0.11059734865580925,-0.104791553714238,-0.19481838040027863,-0.0984982517372871,-0.361246241366553,-0.07842924325290745,0.07576741328563406,-0.6395488174103925,1.0,0.10801536915603369,-0.15642002903958935
Pressure,0.2754023816160537,0.28066071835412676,0.28217102779358527,-0.18538353000765923,0.0687390017751662,-0.3759813340412797,-0.4378796084357164,-0.6143785494088723,0.10801536915603369,1.0,-0.1426275799612804
Wind Speed,0.05189091222650908,0.04928101765840604,0.02237565838382089,-0.060613837550197204,-0.0018473674454712187,-0.05126257403267053,-0.18793776008074037,0.14979310425027867,-0.15642002903958935,-0.1426275799612804,1.0
