,AQI,PM2.5,PM10,CO,NO2,O3,SO2,Temperature,Humidity,Pressure,Wind Speed
AQI,1.0,0.9842687314123669,0.9233505433186338,0.2700367379315775,-0.19208532616986168,0.09215523926624504,0.456158163506926,-0.1097898236438013,-0.1818676872212503,0.2362650539725763,0.1077580991577182
PM2.5,0.9842687314123669,1.0,0.879616909386303,0.2681989335015552,-0.18521521886070197,0.11591524125587478,0.4335527419322946,-0.11482696275598471,-0.14948748815418125,0.2339034873910277,0.11234100564987118
PM10,0.9233505433186338,0.879616909386303,1.0,0.25311574611868365,-0.19299734964435813,0.0508637866411597,0.5207838812269959,-0.12004544463252918,-0.22514323360386862,0.25850358187533734,0.08377481641853728
CO,0.2700367379315775,0.2681989335015552,0.25311574611868365,1.0,-0.48918748955650604,-0.14092377715234167,0.25952067672759693,0.0681832873040085,-0.11446711398983944,0.12285416751203847,0.11023614782774614
NO2,-0.19208532616986168,-0.18521521886070197,-0.19299734964435813,-0.48918748955650604,1.0,-0.18902785607492392,0.052138895148200165,0.05393028525003796,0.07484108283221513,-0.22229960239646643,-0.09860793221853534
O3,0.09215523926624504,0.11591524125587478,0.0508637866411597,-0.14092377715234167,-0.18902785607492392,1.0,0.07437550967588051,0.3145656397605108,-0.44147510823794706,0.039152827902570825,0.038550478370790904
SO2,0.456158163506926,0.4335527419322946,0.5207838812269959,0.25952067672759693,0.052138895148200165,0.07437550967588051,1.0,0.12551361768358882,-0.40636098614778354,0.05827723328123417,0.02373943436297893
Temperature,-0.1097898236438013,-0.11482696275598471,-0.12004544463252918,0.0681832873040085,0.05393028525003796,0.3145656397605108,0.12551361768358882,1.0,-0.6422026483670485,-0.6148743471203436,0.12501177503570382
Humidity,-0.1818676872212503,-0.14948748815418125,-0.22514323360386862,-0.11446711398983944,0.07484108283221513,-0.44147510823794706,-0.40636098614778354,-0.6422026483670485,1.0,0.12331467274126105,-0.14195521263467628
Pressure,0.2362650539725763,0.2339034873910277,0.25850358187533734,0.12285416751203847,-0.22229960239646643,0.039152827902570825,0.05827723328123417,-0.6148743471203436,0.12331467274126105,1.0,-0.12299115587517313
Wind Speed,0.1077580991577182,0.11234100564987118,0.08377481641853728,0.11023614782774614,-0.09860793221853534,0.038550478370790904,0.02373943436297893,0.12501177503570382,-0.14195521263467628,-0.12299115587517313,1.0
