,AQI,PM2.5,PM10,CO,NO2,O3,SO2,Temperature,Humidity,Pressure,Wind Speed
AQI,1.0,0.9910671514538972,0.8949430531091744,0.15089293109369953,0.6615735252173737,0.2611340721154466,0.11982198911129366,-0.05840503051549372,-0.2389425143596055,0.23701923171053332,0.06802660973574812
PM2.5,0.9910671514538972,1.0,0.8844314183577925,0.1464897519831339,0.6565560975457739,0.23635752654767933,0.10872527748751,-0.05863749051110869,-0.22532052557657226,0.23982892038127557,0.06592979370404861
PM10,0.8949430531091744,0.8844314183577925,1.0,0.1542945185498095,0.6720654312144451,0.2573991180913647,0.2588227467937162,-0.106278771906992,-0.2714496240054982,0.2679960258709786,0.06296501124332364
CO,0.15089293109369953,0.1464897519831339,0.1542945185498095,1.0,0.7171726105155621,-0.19252933441700265,-0.04466771754895678,0.20633488837678973,-0.23428577914144935,-0.05848977165457949,0.0019684765255885274
NO2,0.6615735252173737,0.6565560975457739,0.6720654312144451,0.7171726105155621,1.0,0.26777469085017097,0.30720724623234796,-0.28048772694372454,-0.2371834069775453,0.5257133116858985,0.020073119554978338
O3,0.2611340721154466,0.23635752654767933,0.2573991180913647,-0.19252933441700265,0.26777469085017097,1.0,0.04137941976670186,0.20855720132585379,-0.32339897864966666,0.08442091327505133,0.05089905883546188
SO2,0.11982198911129366,0.10872527748751,0.2588227467937162,-0.04466771754895678,0.30720724623234796,0.04137941976670186,1.0,0.05852032342197149,-0.2692280605992503,0.048019502849021616,-0.04827659219095337
Temperature,-0.05840503051549372,-0.05863749051110869,-0.106278771906992,0.20633488837678973,-0.28048772694372454,0.20855720132585379,0.05852032342197149,1.0,-0.6444247779498387,-0.6147524599844204,0.14339557934764618
Humidity,-0.2389425143596055,-0.22532052557657226,-0.2714496240054982,-0.23428577914144935,-0.2371834069775453,-0.32339897864966666,-0.2692280605992503,-0.6444247779498387,1.0,0.11688714524055488,-0.1413256222973199
Pressure,0.23701923171053332,0.23982892038127557,0.2679960258709786,-0.05848977165457949,0.5257133116858985,0.08442091327505133,0.048019502849021616,-0.6147524599844204,0.11688714524055488,1.0,-0.14669443354677036
Wind Speed,0.06802660973574812,0.06592979370404861,0.06296501124332364,0.0019684765255885274,0.020073119554978338,0.05089905883546188,-0.04827659219095337,0.14339557934764618,-0.1413256222973199,-0.14669443354677036,1.0
