,AQI,PM2.5,PM10,CO,NO2,O3,SO2,Temperature,Humidity,Pressure,Wind Speed
AQI,1.0,0.9918481831121154,0.9690088595117177,0.2918067562304721,0.29434487183080454,0.1649983751071335,0.23732654052120916,-0.03373730812591579,-0.09649804358229465,0.10672533717285636,0.23456353582169315
PM2.5,0.9918481831121154,1.0,0.9800467468762913,0.268750303570572,0.2533931138889996,0.16293245543018361,0.1987665659672167,-0.01379192597961162,-0.10517346553215795,0.08174487873681506,0.2368840152524131
PM10,0.9690088595117177,0.9800467468762913,1.0,0.2700717975906831,0.2667102493671691,0.13673314172517764,0.20614214328265146,-0.07514414213863563,-0.09768885552257195,0.1301144777216472,0.2304289438075308
CO,0.2918067562304721,0.268750303570572,0.2700717975906831,1.0,0.8401460964646168,0.4153027718675861,0.8003058983579475,0.06398717491816422,-0.2742695365259671,0.2505647085931494,0.2475615149735655
NO2,0.29434487183080454,0.2533931138889996,0.2667102493671691,0.8401460964646168,1.0,0.17000679727593374,0.7667951089414538,-0.28751429075944385,0.0628148189091028,0.4728955929668579,0.11646757298678084
O3,0.1649983751071335,0.16293245543018361,0.13673314172517764,0.4153027718675861,0.17000679727593374,1.0,0.26404449475095654,0.43345835972282415,-0.3981939171541032,-0.19538124798800086,0.29483724326899635
SO2,0.23732654052120916,0.1987665659672167,0.20614214328265146,0.8003058983579475,0.7667951089414538,0.26404449475095654,1.0,0.027927017098210456,-0.302225418513564,0.324288419222843,0.1365379707656123
Temperature,-0.03373730812591579,-0.01379192597961162,-0.07514414213863563,0.06398717491816422,-0.28751429075944385,0.43345835972282415,0.027927017098210456,1.0,-0.6464713803011284,-0.6361434340339087,0.15661351643937466
Humidity,-0.09649804358229465,-0.10517346553215795,-0.09768885552257195,-0.2742695365259671,0.0628148189091028,-0.3981939171541032,-0.302225418513564,-0.6464713803011284,1.0,0.11189709876747321,-0.19239458396636547
Pressure,0.10672533717285636,0.08174487873681506,0.1301144777216472,0.2505647085931494,0.4728955929668579,-0.19538124798800086,0.324288419222843,-0.6361434340339087,0.11189709876747321,1.0,-0.15886997361263996
Wind Speed,0.23456353582169315,0.2368840152524131,0.2304289438075308,0.2475615149735655,0.11646757298678084,0.29483724326899635,0.1365379707656123,0.15661351643937466,-0.19239458396636547,-0.15886997361263996,1.0
