,AQI,PM2.5,PM10,CO,NO2,O3,SO2,Temperature,Humidity,Pressure,Wind Speed
AQI,1.0,0.97516562216922,0.9014837762802937,0.40380736921512095,0.39167709601908024,0.23954462659627915,-0.015948271016681562,-0.22585605608165907,-0.050204005767610894,0.37488836246643953,-0.13322584382155842
PM2.5,0.97516562216922,1.0,0.8393951950018196,0.368132393015366,0.37676728919013774,0.17637621007853044,0.004245836468957426,-0.21811495133264833,-0.005998631818176756,0.3452172613132573,-0.1721011374836592
PM10,0.9014837762802937,0.8393951950018196,1.0,0.4239240770950056,0.3471191488848169,0.21494460848817967,-0.020570842184830802,-0.14293699300863216,-0.20429198744871188,0.40138804989383264,-0.022096605417063882
CO,0.40380736921512095,0.368132393015366,0.4239240770950056,1.0,0.326640028559138,0.3141594154960903,0.30463000250663835,-0.11240923163829215,-0.050020036311287326,0.07140766103878277,-0.04858364515751029
NO2,0.39167709601908024,0.37676728919013774,0.3471191488848169,0.326640028559138,1.0,0.2084457205652603,-0.05273971023978662,-0.01950857234887828,-0.11468106011609436,0.29507993560818074,0.05481115490829655
O3,0.23954462659627915,0.17637621007853044,0.21494460848817967,0.3141594154960903,0.2084457205652603,1.0,-0.04484770174078568,-0.08913793662731308,0.016048198301445278,0.13068266714852841,-0.01405288696292824
SO2,-0.015948271016681562,0.004245836468957426,-0.020570842184830802,0.30463000250663835,-0.05273971023978662,-0.04484770174078568,1.0,0.1653140266117553,-0.03134586035314689,-0.28942719276105733,-0.07250991943919756
Temperature,-0.22585605608165907,-0.21811495133264833,-0.14293699300863216,-0.11240923163829215,-0.01950857234887828,-0.08913793662731308,0.1653140266117553,1.0,-0.8002759081876224,-0.22070121206762375,0.40277215469233074
Humidity,-0.050204005767610894,-0.005998631818176756,-0.20429198744871188,-0.050020036311287326,-0.11468106011609436,0.016048198301445278,-0.03134586035314689,-0.8002759081876224,1.0,-0.04666627107504445,-0.4600249471524993
Pressure,0.37488836246643953,0.3452172613132573,0.40138804989383264,0.07140766103878277,0.29507993560818074,0.13068266714852841,-0.28942719276105733,-0.22070121206762375,-0.04666627107504445,1.0,-0.08679101924172235
Wind Speed,-0.13322584382155842,-0.1721011374836592,-0.022096605417063882,-0.04858364515751029,0.05481115490829655,-0.01405288696292824,-0.07250991943919756,0.40277215469233074,-0.4600249471524993,-0.08679101924172235,1.0
