Date,Mean_AQI,Std_AQI,Min_AQI,Max_AQI,Mean_PM2.5,Std_PM2.5,Min_PM2.5,Max_PM2.5,Mean_PM10,Std_PM10,Min_PM10,Max_PM10,Mean_CO,Std_CO,Min_CO,Max_CO,Mean_NO2,Std_NO2,Min_NO2,Max_NO2,Mean_O3,Std_O3,Min_O3,Max_O3,Mean_SO2,Std_SO2,Min_SO2,Max_SO2,Exceedance_Rate (%)
2025-04-08,90.78,27.53,49.0,134.0,90.74,27.54,48.97,134.33,59.89,13.61,28.77,80.97,18.39,8.61,4.48,34.84,9.88,12.76,1.12,62.17,14.06,9.35,1.3,41.79,7.15,7.79,1.34,29.88,40.0
2025-04-09,76.28,17.53,46.0,111.0,76.29,17.56,46.36,111.2,54.53,10.4,30.7,76.62,18.33,9.03,2.06,37.37,7.3,5.86,0.73,20.02,12.73,8.58,0.88,41.89,6.2,5.45,1.29,21.02,7.32
2025-04-10,85.92,21.79,52.0,128.0,85.82,21.81,50.98,127.62,57.92,10.78,37.11,82.12,20.15,11.16,8.02,41.51,9.09,8.41,0.69,33.28,16.09,14.17,0.92,94.79,7.54,5.95,1.41,18.85,29.35
2025-04-11,89.82,20.44,53.0,140.0,89.82,20.44,52.75,139.72,58.93,7.13,39.39,76.12,19.81,9.88,9.38,43.02,9.3,8.42,0.69,25.4,18.15,13.67,1.41,92.76,7.51,5.96,1.39,19.17,27.17
2025-04-12,97.79,25.49,24.0,151.0,96.82,27.59,14.73,151.34,63.08,10.8,17.83,88.25,20.56,10.27,9.68,48.02,9.5,8.63,0.72,26.24,18.39,12.29,1.62,67.09,7.48,5.91,1.27,21.4,47.83
2025-04-13,73.65,46.75,18.0,168.0,63.99,49.01,4.35,154.18,69.86,48.37,7.23,167.59,20.21,12.41,9.06,51.28,7.16,7.16,0.67,20.62,16.4,9.82,1.55,35.59,6.56,4.96,1.2,14.42,27.38
2025-04-14,104.85,38.01,33.0,150.0,96.79,36.84,33.41,149.63,99.14,37.38,26.46,144.32,21.76,13.02,9.09,50.6,8.0,7.23,1.15,26.06,17.05,14.43,1.08,61.73,9.15,7.82,1.12,38.99,62.5
2025-04-15,117.65,43.47,23.0,172.0,111.02,43.54,23.07,172.2,106.47,43.02,21.06,159.15,18.55,7.82,10.52,43.41,7.92,6.99,0.9,23.12,29.54,30.28,0.86,112.39,11.23,10.54,1.33,41.87,72.73
2025-04-16,120.92,29.87,60.0,157.0,113.98,32.98,59.66,156.57,111.16,32.83,52.27,149.76,17.86,7.65,9.66,37.49,8.39,7.71,0.74,23.71,30.53,31.42,1.89,143.43,13.2,11.0,1.34,38.5,78.41
2025-04-17,99.61,15.33,59.0,130.0,97.42,15.38,59.44,121.13,87.54,22.79,40.07,129.72,17.74,7.44,9.5,41.18,10.63,10.49,0.38,37.34,21.97,17.75,1.96,93.99,8.55,7.06,1.4,24.05,56.52
2025-04-18,85.38,13.27,57.0,114.0,84.91,13.61,57.46,114.44,68.16,14.5,46.25,96.28,16.5,5.48,9.3,30.51,11.57,11.27,0.55,33.81,25.73,21.39,2.75,104.97,9.01,8.84,1.39,46.28,13.04
2025-04-19,79.38,16.04,37.0,116.0,78.11,17.48,30.08,114.55,57.91,9.11,31.71,80.98,15.76,4.45,10.11,29.37,11.02,10.73,0.58,32.0,31.46,26.74,2.29,116.26,10.09,8.89,1.63,30.29,10.23
2025-04-20,59.76,12.31,34.0,95.0,58.55,13.86,28.99,94.97,47.1,9.21,24.32,62.19,13.67,3.47,9.04,23.92,9.88,9.82,0.37,30.18,27.42,22.25,2.48,105.72,8.37,7.13,1.55,29.84,0.0
2025-04-21,59.51,17.54,29.0,105.0,57.65,18.16,28.99,104.81,45.94,12.59,19.48,71.56,15.55,4.41,8.55,25.36,10.39,10.43,0.44,29.93,21.45,19.86,1.61,112.43,6.9,5.3,1.5,18.76,2.27
2025-04-22,77.24,21.45,36.0,120.0,76.15,23.01,28.79,119.6,55.61,11.38,24.58,76.33,16.04,5.46,8.79,34.51,10.59,11.69,0.33,44.48,20.23,21.1,0.43,93.39,8.38,7.4,1.36,34.96,10.87
2025-04-23,79.56,10.63,59.0,100.0,79.5,10.65,59.03,100.3,57.07,5.73,46.0,72.68,15.32,5.82,6.37,28.3,12.06,15.24,0.34,73.83,23.19,25.66,0.94,138.36,9.15,7.97,1.39,28.62,0.0
2025-04-24,75.05,14.67,53.0,120.0,74.98,14.7,52.77,119.61,54.56,7.47,39.23,74.13,15.71,9.26,5.36,43.53,12.25,12.62,0.23,41.5,21.35,18.25,0.57,105.26,8.26,6.87,1.45,25.42,7.06
2025-04-25,58.95,25.65,24.0,121.0,58.4,26.24,21.13,120.67,41.8,17.02,17.98,74.43,15.42,8.88,4.73,40.51,11.71,12.55,0.18,56.4,18.38,11.27,2.0,70.48,6.77,5.52,1.35,23.51,9.2
2025-04-26,61.92,8.97,41.0,86.0,61.24,9.76,37.73,85.7,49.45,7.6,28.46,67.01,17.96,13.68,3.83,54.06,11.69,12.05,0.36,34.98,19.01,11.91,0.98,69.95,12.84,14.29,1.36,54.84,0.0
2025-04-27,61.8,14.7,23.0,96.0,61.39,15.57,15.32,95.88,45.81,9.65,19.75,67.72,16.86,13.12,3.7,51.81,8.91,10.62,0.15,32.18,16.53,15.85,1.23,91.67,8.61,7.48,1.36,30.61,0.0
2025-04-28,47.08,14.38,25.0,90.0,46.14,14.72,23.05,89.7,38.39,13.0,15.41,80.69,18.65,13.97,3.7,45.01,11.04,12.19,0.21,40.92,13.91,12.08,1.43,49.96,7.79,6.33,1.28,23.06,0.0
2025-04-29,62.41,24.74,26.0,121.0,61.55,24.65,25.86,120.75,46.44,18.8,19.1,80.63,14.88,11.34,3.22,42.99,11.81,12.44,0.52,36.53,11.14,10.21,1.63,45.0,6.78,5.91,1.35,17.31,5.33
2025-04-30,65.02,22.6,21.0,102.0,64.61,23.17,20.66,101.68,44.91,11.48,20.7,60.0,9.47,3.63,3.41,18.02,13.35,13.11,0.1,37.41,19.31,22.37,1.45,120.17,5.52,5.36,1.39,16.72,3.03
2025-05-01,40.32,14.2,20.0,75.0,39.47,15.16,14.62,75.17,29.51,11.18,8.99,50.33,9.66,3.42,3.45,15.39,11.06,11.38,0.15,33.02,16.78,13.13,1.46,55.77,5.46,5.28,1.22,15.26,0.0
