Hour,Mean_AQI,Std_AQI,Min_AQI,Max_AQI,Mean_PM2.5,Std_PM2.5,Min_PM2.5,Max_PM2.5,Mean_PM10,Std_PM10,Min_PM10,Max_PM10,Mean_CO,Std_CO,Min_CO,Max_CO,Mean_NO2,Std_NO2,Min_NO2,Max_NO2,Mean_O3,Std_O3,Min_O3,Max_O3,Mean_SO2,Std_SO2,Min_SO2,Max_SO2,Exceedance_Rate (%)
0,54.42,28.05,7.0,157.0,51.65,28.66,5.55,156.57,43.96,23.71,3.68,146.91,11.18,7.67,0.03,57.64,7.73,9.31,0.14,35.29,13.23,13.66,0.57,117.5,5.46,6.1,0.44,31.05,7.12
1,53.28,27.16,6.0,159.0,49.74,28.09,4.22,159.24,43.23,23.37,3.61,153.64,10.78,7.89,0.11,57.64,7.28,9.46,0.09,37.41,13.05,13.46,0.79,104.75,5.24,6.0,0.44,27.56,6.38
2,55.11,27.15,7.0,164.0,52.01,27.93,4.16,163.82,44.2,23.65,2.75,158.27,10.76,7.6,0.15,48.67,7.81,10.15,0.07,57.06,13.51,13.72,0.83,107.84,5.54,5.97,0.44,28.88,6.27
3,53.86,26.43,7.0,167.0,50.79,27.74,3.74,167.3,43.3,23.07,2.41,159.15,10.25,7.98,0.04,57.64,7.15,9.3,0.05,57.06,13.34,12.71,0.71,107.84,5.23,5.93,0.41,28.96,6.08
4,55.16,27.0,8.0,170.0,52.53,28.1,4.94,170.22,43.58,23.36,3.85,157.93,10.52,7.94,0.11,59.04,7.31,9.9,0.05,57.06,13.0,12.87,0.72,107.84,5.14,5.82,0.41,34.73,5.48
5,56.2,27.8,6.0,171.0,53.78,28.73,3.65,171.3,43.42,23.23,4.27,157.76,10.39,7.26,0.24,51.81,7.76,10.2,0.05,57.06,13.33,13.96,0.56,107.84,5.15,5.73,0.41,33.32,6.5
6,55.86,27.82,6.0,171.0,52.84,29.19,3.2,170.74,43.52,23.1,4.16,158.37,11.5,7.47,0.16,57.64,7.2,9.65,0.04,57.06,12.88,13.84,0.81,116.26,5.06,5.65,0.4,33.72,5.85
7,54.19,21.49,14.0,116.0,48.25,24.71,9.9,116.2,44.64,15.59,8.85,83.86,12.81,8.6,0.78,57.64,7.78,9.76,0.24,35.04,10.19,7.66,1.69,33.03,4.91,6.08,0.77,32.37,2.56
8,58.89,28.71,9.0,168.0,57.29,29.49,7.82,167.9,45.24,24.21,3.88,152.28,14.51,7.39,2.29,42.99,7.94,10.55,0.09,57.06,11.62,11.62,0.66,80.39,5.86,6.22,0.9,38.99,8.5
9,72.65,30.54,18.0,160.0,70.15,32.51,4.35,160.03,57.21,24.48,15.71,149.63,15.82,10.73,1.18,57.64,8.85,10.47,0.2,57.06,11.51,9.28,1.07,52.27,7.11,8.42,0.81,54.84,16.67
10,58.36,25.74,9.0,169.0,56.61,26.7,8.59,169.04,46.01,20.41,5.79,147.63,13.22,8.0,0.22,49.25,8.78,10.38,0.07,57.06,13.94,12.59,0.44,100.08,6.26,7.03,0.83,52.71,6.76
11,57.25,26.41,9.0,171.0,54.37,27.86,8.12,171.21,46.7,22.07,5.47,148.39,12.34,7.78,0.1,57.64,8.95,10.5,0.06,63.05,16.58,15.02,0.96,123.53,6.22,6.86,0.75,50.61,6.97
12,56.0,27.03,12.0,172.0,52.43,28.73,7.35,172.2,45.91,22.31,5.3,148.12,12.49,7.66,0.75,57.64,8.38,9.13,0.07,57.06,19.14,18.35,1.29,145.2,6.26,6.64,0.64,41.87,6.96
13,54.48,26.87,12.0,172.0,50.24,28.85,5.63,171.87,44.67,22.02,4.13,146.46,11.82,8.07,0.26,57.64,7.69,8.74,0.08,57.06,21.05,20.37,1.47,171.72,6.04,6.38,0.69,39.66,7.43
14,54.09,28.05,8.0,169.0,50.21,30.05,4.77,168.95,43.65,22.41,3.29,143.85,11.56,7.79,0.52,57.64,7.69,8.95,0.08,57.06,22.25,23.09,1.46,176.15,6.12,6.69,0.74,51.96,7.72
15,53.13,28.4,8.0,160.0,49.38,30.12,4.88,159.94,42.58,22.46,2.78,143.13,12.04,8.09,0.23,57.64,7.75,9.26,0.06,62.17,22.54,24.43,1.36,177.59,5.94,6.27,0.73,35.78,7.79
16,52.39,28.78,9.0,151.0,49.08,30.6,6.16,151.34,41.86,22.6,2.28,149.08,11.98,7.3,0.31,49.8,8.0,9.34,0.08,61.27,21.68,23.67,1.33,150.02,5.87,6.63,0.7,51.98,8.25
17,50.67,28.19,9.0,157.0,47.52,29.53,7.21,151.99,40.93,22.34,1.73,157.05,12.76,7.34,0.3,50.6,8.8,10.65,0.09,73.83,21.14,21.94,0.82,120.17,5.67,6.55,0.62,43.52,7.52
18,51.06,27.86,11.0,163.0,47.71,28.96,1.28,153.08,41.65,22.48,1.49,162.82,14.28,7.67,0.07,48.67,9.51,11.42,0.08,76.23,18.81,19.76,2.13,128.16,5.58,6.03,0.48,38.5,6.98
19,50.23,27.34,8.0,168.0,46.64,28.43,3.24,154.18,41.35,22.12,2.57,167.59,13.87,8.08,0.44,53.8,9.14,10.27,0.1,63.17,16.54,16.49,1.21,119.13,5.38,5.99,0.44,41.1,5.72
20,52.4,27.82,7.0,167.0,49.49,28.72,2.22,154.16,42.77,22.55,4.86,166.97,13.2,7.74,0.44,53.8,8.79,9.95,0.1,44.48,14.69,13.5,0.83,105.21,5.23,5.68,0.44,34.55,7.25
21,54.72,28.86,8.0,158.0,52.14,29.65,4.53,151.35,43.92,23.28,4.58,157.73,12.4,7.16,0.48,49.74,8.18,9.23,0.13,33.71,14.57,14.6,0.43,112.49,5.35,5.8,0.44,37.65,8.12
22,56.48,29.93,9.0,154.0,53.97,30.87,5.55,153.66,44.71,23.62,3.42,152.94,12.5,8.01,0.16,53.8,8.16,9.61,0.14,36.53,13.54,14.84,0.57,121.78,5.26,5.83,0.44,35.9,9.75
