location,date,NO2,SO2,CO,O3,CH4,HCHO,AER_AI,AER_LH,CLOUD
Hà Nội: ĐHBK cổng Parabol đường Giải Phóng,2025-01-01,0.00011062033480220118,0.00010479348840305195,0.0660397687163906,0.11149406779060156,1974.745167146803,0.0003257942885577834,-0.6166470977200653,289.3668586454262,
Hà Nội: 556 Nguyễn Văn Cừ,2025-01-01,0.00011258924460061299,7.192018078004002e-05,0.06076277938231452,0.11158747959265225,1962.3385289217115,0.00031876287832439476,-0.6230138406343515,560.5607813157064,
Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến,2025-01-01,0.00010621811884161016,0.00010123389900683046,0.06937816201694566,0.11137766458041619,1976.399783143779,0.00031552222955758414,-0.5931332737297685,328.22744077086526,
HCM: Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng,2025-01-01,,,0.03733423105673181,0.10679345627170227,,0.00022100086402849296,-1.4053113997816893,,0.888360217842621
HCM: Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang),2025-01-01,,,0.03509624937483317,0.1063760813449942,,0.00014292706927099676,-1.5455365160144954,,0.7883420015884642
Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng,2025-01-01,,,0.03888449192669956,0.10554469581446747,,,-0.9615678511542964,,0.9999999990099153
Thái nguyên: Đường Hùng Vương - Tp Thái Nguyên,2025-01-01,6.769920107549094e-05,8.900789197423264e-05,0.0592276541906933,0.11268519774229595,1957.8880549563257,0.00026473260604018586,-0.770587294066383,178.39974094519062,0
Phú Thọ: đường Hùng Vương - Tp Việt Trì,2025-01-01,7.10211540550452e-05,9.907000330190516e-05,0.05263986013396989,0.11233788516357274,,0.0002175905964614416,-0.9459718100212493,149.88918258290968,0
Bắc Giang: Khu liên cơ quan tỉnh Bắc Giang - P. Ngô Quyền - TP. Bắc Giang,2025-01-01,0.00011383448945218472,0.0003076311625743963,0.05088826612781397,0.1119480821050676,1949.9139166202226,0.00021367144461400324,-0.7671184987104087,309.2789694283444,
Hà Nam: Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý,2025-01-01,0.00018557650378318069,3.6031335616391816e-05,0.053574434047840055,0.11097666103894423,1958.2962605799648,0.0002446281382030365,-0.8671710727705119,598.2091303234774,0
Long An: UBND Tp Tân An - 76 Hùng Vương - P.2,2025-01-01,,,0.037365942690407605,0.10736769408826916,,,-1.5373096599516682,,0.7346031548505395
"Bình Dương: số 593 Đại lộ Bình Dương, P. Hiệp Thành",2025-01-01,,,0.0351059292344722,0.10633434882622993,,,-1.3056625966302489,,0.9556027613652346
Quảng Bình: Khu kinh tế Hòn La,2025-01-01,,5.428634181492931e-05,0.046046330872622596,0.1084065733989637,,0.00011873608943931438,-1.320542045487419,,0.6918468394099382
Hà Nội: ĐHBK cổng Parabol đường Giải Phóng,2025-01-02,0.00011603380198572225,0.00042697257866460995,0.05253287150981701,0.11100177796164866,,0.0002763855216311033,-0.46473465162652144,,0.49519295443082817
Hà Nội: 556 Nguyễn Văn Cừ,2025-01-02,0.00014540637175421015,0.0003907346366543089,0.05209638233102601,0.11114293961510884,,0.00025878709047786187,-0.4626976388454765,,0.4480166111344744
Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến,2025-01-02,0.0001050953133143346,0.00026553795429638534,0.05152283050062169,0.11091804181306447,,0.0002525497473796163,-0.38454025908855793,,0.6103618973467068
HCM: Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng,2025-01-02,,,0.03704121744210341,0.10533028556412834,,,-0.9497346538043997,,0.7943619678547027
HCM: Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang),2025-01-02,,,0.037194193196021366,0.10544764100154586,,,-1.0242139992197228,,0.7687405952461817
Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng,2025-01-02,,,0.039484440895252555,0.10756349660645508,,,-0.9312199325767966,,0.999999999121688
Thái nguyên: Đường Hùng Vương - Tp Thái Nguyên,2025-01-02,,,,0.11160902480303406,,,-0.4756918792507203,,0.9281250686167566
Phú Thọ: đường Hùng Vương - Tp Việt Trì,2025-01-02,4.771829813612696e-05,2.400660923832583e-05,0.056250030398865024,0.11168545247334309,,0.00012236240626224446,-0.7559355829068116,,0.32300690385095004
Bắc Giang: Khu liên cơ quan tỉnh Bắc Giang - P. Ngô Quyền - TP. Bắc Giang,2025-01-02,5.361733803180938e-05,0.0001184896897684751,0.05493342200452876,0.11160450500914428,1933.0894799546702,0.00021403983077598334,-0.6411130860356321,134.56143673684917,0.1834613341475158
Hà Nam: Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý,2025-01-02,0.00010088075434779184,0.00013194274855770006,0.05831111461586947,0.11123733138819238,,0.00023022788734040995,-0.5177616796626374,,0.15126111970647846
Long An: UBND Tp Tân An - 76 Hùng Vương - P.2,2025-01-02,,,0.03071140032970706,0.10585197562720554,,,-0.9488246617186052,,0.9926400498156455
"Bình Dương: số 593 Đại lộ Bình Dương, P. Hiệp Thành",2025-01-02,,,0.03540885661012293,0.10508861132299031,,,-0.8175296443678831,,0.7198662327441949
Quảng Bình: Khu kinh tế Hòn La,2025-01-02,,,,0.1089706406358435,,,-0.9335234781787924,,0.9999999991018832
Hà Nội: ĐHBK cổng Parabol đường Giải Phóng,2025-01-03,7.817342793143425e-05,-6.53512275720634e-06,0.061829797626210506,0.11034351627273356,,0.00023531446169731363,0.7514071698775292,,0.18683255593105982
Hà Nội: 556 Nguyễn Văn Cừ,2025-01-03,6.960989901807523e-05,0.00022466256237269194,0.061391660791816474,0.11074991284359756,,0.00024193059453988923,0.7290789722512149,,0.18319829262538795
Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến,2025-01-03,7.941999817948555e-05,-0.00014625781287112946,0.06215510638463466,0.1103569409324754,,0.0002511162381851382,0.7521704955155235,,0.18519965919125983
HCM: Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng,2025-01-03,,,0.040337953308510865,0.10873328828217864,,,1.2275664232608232,,0.6846990511942149
HCM: Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang),2025-01-03,,,0.04034262906728934,0.108400705867146,,,1.0854046775076591,,0.6997494734128789
Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng,2025-01-03,,,,0.11029257591349827,,,-0.5731346763242569,,1.0000000003680338
Thái nguyên: Đường Hùng Vương - Tp Thái Nguyên,2025-01-03,5.770985573562256e-05,3.181896309313703e-05,0.06335831225052813,0.11088695236749639,,0.0002709316855948934,0.6127720558812896,,0.19446378962652267
Phú Thọ: đường Hùng Vương - Tp Việt Trì,2025-01-03,7.05966848530169e-05,0.0002714673806522364,0.06234331179014728,0.11119705126832659,,0.00024957725737226777,0.7440393783627574,890.0093245134842,0.2318436662061821
Bắc Giang: Khu liên cơ quan tỉnh Bắc Giang - P. Ngô Quyền - TP. Bắc Giang,2025-01-03,4.036781849869529e-05,7.796159965391017e-05,0.060365634580693946,0.11109493203883435,,0.000299491266211932,0.4857204302647858,761.2157249846122,0.1790547541231253
Hà Nam: Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý,2025-01-03,0.00010244386933838358,9.205511410899916e-05,0.06534734147845676,0.11009524604426763,,0.00021707953286003107,0.8965402267634022,,
Long An: UBND Tp Tân An - 76 Hùng Vương - P.2,2025-01-03,,,0.043257752176629215,0.10895003737761753,,,0.636865229191959,,0.41959907653427575
"Bình Dương: số 593 Đại lộ Bình Dương, P. Hiệp Thành",2025-01-03,,,0.03963752899984851,0.1082869527462092,,,0.8491489501330036,,0.5644045971865468
Quảng Bình: Khu kinh tế Hòn La,2025-01-03,3.844850627653975e-05,-3.083064775563298e-05,0.04950677911965013,0.10923292687675296,,6.87227975931031e-05,-0.23949518421553745,,0.3072653344109816
Hà Nội: ĐHBK cổng Parabol đường Giải Phóng,2025-01-04,0.00013837504068029102,0.0003272663436333355,0.05960651115845529,0.1129411799660787,,0.00027236873330192124,0.06509395801337073,134.50248951316425,0.20356488519646507
Hà Nội: 556 Nguyễn Văn Cừ,2025-01-04,0.0001457801202270587,0.0003978008915969666,0.058500314245924674,0.11290370523137319,,0.0002646775002887287,0.11095733401129075,,0.215179556379569
Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến,2025-01-04,0.00013435981542478173,0.0002303708844020369,0.06110314537158684,0.11301532636610888,,0.00027133543281295447,0.048607759388958484,134.4309550610255,0.20381051994503868
HCM: Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng,2025-01-04,5.21935011250066e-05,-6.643230118726011e-05,0.048148737404958196,0.10825803563537356,,0.0002132591004309889,0.13211290167779136,,0.5840933181931447
HCM: Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang),2025-01-04,5.494102913283262e-05,-0.00011800307015765364,0.048213673520419116,0.10837236313455184,,0.00026745791452657326,-0.045645756130424264,,0.5190862274283148
